k,bic,aic,silhouette
2,37204.57184183844,37077.67137674584,0.3025391309035216
3,36663.364193634974,36469.67401007259,0.2835119051482981
4,20129.342494448563,19868.862592416386,0.2189250260394007
5,19776.758971530548,19449.489351028584,0.19989702858012484
6,19573.08701095987,19179.027671988115,0.15862214083825613
7,4577.906926218354,4117.057868776812,0.118132090940749
8,4461.249427106249,3933.6106511949183,0.11305733132782134
9,-2894.2002332508464,-3488.6287276319654,0.09159386428433179
10,-2916.7233911018557,-3577.941603952763,0.06306955314428091
