k,inertia,silhouette
2,8588.985343295875,0.4386023012270002
3,6354.235217312422,0.34703462592874096
4,4921.066882022189,0.36530350219579266
5,4099.106078778315,0.3424961358761568
6,3554.696268860983,0.3347964327358148
7,3189.9668205514454,0.3017107061997286
8,2897.763376601772,0.2966626461823219
9,2656.5623279084402,0.29252387787540013
10,2463.259739255504,0.289763290166397
